time,NUM_EP,L1,L2,BATCH_SIZE,MEM_SIZE,MIN_EXP_SIZE,season,case,idx,T_FH_plus,T_FH_minus,V_HW_plus,V_HW_minus,profits,comfort,abort
2021-06-08T15:31:02.301,10001,400,300,120,50000,24000,winter,winter_no-L2_nns_abort_mem-50T,9601,31.14939729,7.205241141,0.0,0.0,-105.8555607,-38.35463843,0.0
2021-06-08T15:30:59.509,10001,400,300,120,50000,24000,winter,winter_no-L2_nns_abort_mem-50T,10001,35.0465183,7.387260838,0.0,0.0,-109.6956613,-42.43377913,0.0
2021-06-08T15:24:54.153,10001,400,300,120,24000,12000,winter,winter_no-L2_nns_abort_mem-24-12T,6901,35.29730315,17.58772875,8.230232045,0.0,-145.2898477,-61.11526395,0.0
2021-06-08T15:24:51.364,10001,400,300,120,24000,12000,winter,winter_no-L2_nns_abort_mem-24-12T,10001,216.8597048,0.0,110.6186529,0.0,-385.1134493,-327.4783577,0.0
2021-06-08T15:06:37.422,10001,400,300,120,50000,24000,summer,summer_no-L2_nns_abort_mem-50T,1101,187.3234175,0.0,79.2572153,0.0,-240.2615372,-266.5806328,0.0
2021-06-08T15:06:35.042,10001,400,300,120,50000,24000,summer,summer_no-L2_nns_abort_mem-50T,10001,11.92136011,0.0,0.0,0.0,-15.72514096,-11.92136011,0.0
2021-06-08T15:00:53.717,10001,300,600,120,50000,24000,winter,winter_no-L2_nns_abort_mem-50T,1,0.0,24.97553834,0.0,0.0,-23.76917693,-24.97553834,0.0
2021-06-08T15:00:51.453,10001,300,600,120,50000,24000,winter,winter_no-L2_nns_abort_mem-50T,10001,0.0,0.0,46.74148096,0.0,-48.40801979,-46.74148096,0.0
2021-06-08T14:17:15.074,10001,400,300,120,1000000,50000,summer,summer_no-L2_nns_abort_mem-max,3601,4.324854596,0.0,58.29652448,0.0,-21.59398467,-62.62137908,0.0
2021-06-08T14:17:12.444,10001,400,300,120,1000000,50000,summer,summer_no-L2_nns_abort_mem-max,10001,3.704347613,0.0,105.9125058,0.0,-112.4069266,-109.6168534,0.0
2021-06-08T14:08:13.797,10001,300,600,120,1000000,50000,summer,summer_no-L2_nns_abort_mem-max,2301,37.44204185,0.0,0.0,49.33591314,-64.64693533,-86.77795499,0.0
2021-06-08T14:08:11.428,10001,300,600,120,1000000,50000,summer,summer_no-L2_nns_abort_mem-max,10001,0.0,0.0,138.8660543,0.0,-139.8229989,-138.8660543,0.0
2021-06-08T14:05:41.663,10001,300,600,120,1000000,50000,winter,winter_no-L2_nns_abort_mem-max,1701,0.0,39.37743616,0.0,0.0,-49.65465259,-39.37743616,0.0
2021-06-08T14:05:39.111,10001,300,600,120,1000000,50000,winter,winter_no-L2_nns_abort_mem-max,10001,0.0,0.0,53.07883499,0.0,-53.07883499,-53.07883499,0.0
2021-06-08T14:03:16.261,10001,400,300,120,1000000,50000,winter,winter_no-L2_nns_abort_mem-max,1,0.0,18.44685873,0.0,0.0,-18.26698421,-18.44685873,0.0
2021-06-08T14:03:13.772,10001,400,300,120,1000000,50000,winter,winter_no-L2_nns_abort_mem-max,10001,0.0,0.0,52.94654023,0.0,-53.91806677,-52.94654023,0.0
2021-06-07T22:28:50.062,10001,300,600,120,24000,24000,summer,summer_no-L2_nns_abort_mean,9101,0.0,0.0,0.0,0.0,66.06575056,0.0,0.0
2021-06-07T22:28:47.235,10001,300,600,120,24000,24000,summer,summer_no-L2_nns_abort_mean,10001,0.0,0.0,0.0,0.0,65.80224454,0.0,0.0
2021-06-07T22:21:41.702,10001,400,300,120,24000,24000,summer,summer_no-L2_nns_abort_mean,8801,0.0,0.0,0.0,0.0,65.23071914,0.0,0.0
2021-06-07T22:21:39.23,10001,400,300,120,24000,24000,summer,summer_no-L2_nns_abort_mean,10001,0.018085373,0.0,31.40481238,0.0,27.52897903,-31.42289776,0.0
2021-06-07T22:16:43.494,10001,300,600,120,24000,24000,winter,winter_no-L2_nns_abort_mean,5901,0.557176,4.370307075,0.0,0.0,-67.60722569,-4.927483076,0.0
2021-06-07T22:16:41.06,10001,300,600,120,24000,24000,winter,winter_no-L2_nns_abort_mean,10001,14.86983967,14.30119774,1.843521561,0.0,-92.06060002,-31.01455898,0.0
2021-06-07T22:10:38.76,10001,400,300,120,24000,24000,winter,winter_no-L2_nns_abort_mean,10001,52.44235335,9.17251396,0.0,0.0,-131.2444847,-61.61486731,0.0
2021-06-07T22:10:36.352,10001,400,300,120,24000,24000,winter,winter_no-L2_nns_abort_mean,10001,52.44235335,9.17251396,0.0,0.0,-131.2444847,-61.61486731,0.0
2021-06-07T19:17:31.895,10001,400,300,120,24000,24000,summer,summer_no-L2_decr-norm-ns_abort,9201,0.0,0.0,0.0,0.0,60.75666683,0.0,0.0
2021-06-07T19:17:29.199,10001,400,300,120,24000,24000,summer,summer_no-L2_decr-norm-ns_abort,10001,0.0,0.0,0.0,5.983369511,50.95276355,-5.983369511,0.0
2021-06-07T19:16:27.2,10001,300,600,120,24000,24000,summer,summer_no-L2_decr-norm-ns_abort,2401,0.0,0.0,0.0,0.0,63.61626671,0.0,0.0
2021-06-07T19:16:24.354,10001,300,600,120,24000,24000,summer,summer_no-L2_decr-norm-ns_abort,10001,1.022611486,0.0,5.346052323,0.0,59.16979804,-6.368663809,0.0
2021-06-07T19:09:20.576,10001,300,600,120,24000,24000,winter,winter_no-L2_decr-norm-ns_abort,8901,0.733565795,7.068116624,0.0,0.0,-74.11311791,-7.801682418,0.0
2021-06-07T19:09:17.902,10001,300,600,120,24000,24000,winter,winter_no-L2_decr-norm-ns_abort,10001,0.109400231,46.85759991,0.0,0.0,-114.6606544,-46.96700014,0.0
2021-06-07T18:44:25.744,10001,400,300,120,24000,24000,winter,winter_no-L2_decr-norm-ns_abort,3401,108.9385737,0.0,0.0,0.0,-133.2736856,-108.9385737,0.0
2021-06-07T18:44:23.201,10001,400,300,120,24000,24000,winter,winter_no-L2_decr-norm-ns_abort,10001,93.73492862,0.0,0.0,35.66548532,-147.9916869,-129.4004139,0.0
2021-06-06T23:50:12.364,10001,400,300,120,24000,24000,winter,winter_no-L2_norm-ns_abort,6101,0.354902051,0.218135676,0.0,0.0,-65.44984636,-0.573037727,0.0
2021-06-06T23:50:09.564,10001,400,300,120,24000,24000,winter,winter_no-L2_norm-ns_abort,10001,85.7914727,0.0,0.0,0.0,-169.2698944,-85.7914727,0.0
2021-06-06T23:42:41.194,10001,300,600,120,24000,24000,summer,summer_no-L2_norm-ns_abort,9201,0.0,0.0,0.0,0.0,65.82572104,0.0,0.0
2021-06-06T23:42:38.367,10001,300,600,120,24000,24000,summer,summer_no-L2_norm-ns_abort,10001,0.0,0.0,0.0,0.0,62.50450822,0.0,0.0
2021-06-06T23:39:44.097,10001,300,600,120,24000,24000,winter,winter_no-L2_norm-ns_abort,8201,1.307971572,0.525575951,0.0,0.0,-62.21234196,-1.833547523,0.0
2021-06-06T23:39:41.306,10001,300,600,120,24000,24000,winter,winter_no-L2_norm-ns_abort,10001,17.23527559,38.04992789,0.0,0.0,-108.8120396,-55.28520348,0.0
2021-06-06T23:36:12.084,10001,400,300,120,24000,24000,summer,summer_no-L2_norm-ns_abort,7401,0.0,0.0,0.0,0.0,63.1280531,0.0,0.0
